id,domain,title,visits,rating,type,flag
mic_izvestia,iz.ru,Известия,2187424,91,private,s
kp,kp.ru,Комсомольская правда-Digital,2111511,89,public,s
tsargradtv,tsargrad.tv/,Телеканал &quot;Царьград&quot; - Первый Русский,1889925,94,private,s
RS_Total/Riaru_Total,ria.ru,РИА Новости: главные новости часа,1832000,87,public,s
AIF,www.aif.ru,"Аргументы и Факты //  Объясняем, что происходит",1466352,92,public,s
RBCRU,www.rbc.ru,"РБК - РосБизнесКонсалтинг - новости, курсы валют, погода",1406325,85,public,s
mk,www.mk.ru,МОСКОВСКИЙ КОМСОМОЛЕЦ,1357114,91,public,s
hsdigital/rn/smi,mediakit.iportal.ru,Городские медиа Shkulev Holding,1306780,89,public,s
life.ru,life.ru/,LIFE.RU — последние новости России и мира,1052862,93,private,s
Lenta,lenta.ru,Lenta.Ru,1027522,83,public,s
rambler,rambler.ru,Рамблер - главные новости в России и мире,917026,78,private,s
NovostnoyAgregatorSMI2,smi2.ru,Новостной агрегатор СМИ2,834377,85,private,s
TASS_total,tass.ru,ТАСС - Новости в России и мире,795985,89,public,s
gazeta_all,www.gazeta.ru/,Газета.Ru: Главные новости и подробности текущих событий,795316,87,public,s
360tv,360tv.ru,Телеканал 360°,786161,94,private,s
ura.ru,ura.ru/,URA.Ru - Российское информационное агентство,754154,87,public,s
russian.rt.com,russian.rt.com/,RT на русском,592701,91,private,s
RGRU,www.rg.ru,Российская Газета: издание Правительства РФ,545630,85,public,
ren.tv,ren.tv/,Новости - наше призвание. РЕН ТВ,544738,92,public,s
regnum,regnum.ru,ИА Регнум,513994,93,public,s
news.ru,news.ru/,NEWS.ru ─ Информационный портал,509642,86,private,s
novorosinform.org,www.novorosinform.org/,Информационное агентство «Новороссия»,503611,94,private,s
progoroduhta.ru,progoroduhta.ru/,Pro Город Ухта,487770,73,private,s
kommersant,www.kommersant.ru,&quot;Коммерсантъ&quot;. Издательский дом,453476,88,public,s
PrimaMediaCompany,primamedia.company,Сеть PrimaMedia,419875,74,private,
5-tv.ru,5-tv.ru/,Пятый канал,401911,93,public,s
1Mediainvest,1mediainvest.ru/,1MI - федеральный медиахолдинг,376175,90,public,
action,www.glavbukh.ru/,"&lt;Актион-МЦФЭР&gt; — издания для директоров, руководителей, главбухов",316111,90,public,s
ntv.ru,www.ntv.ru/,"НТВ.ru - Новости, видео, прямой эфир телеканала НТВ",310859,87,public,s
sibkray,sibkray.ru/,sibkrayru,293263,90,public,
prochepetsk.ru,prochepetsk.ru/,Про Город Кирово-Чепецк | Свежие новости Кирово-Чепецка,272536,72,private,s
Bloknot-media,bloknot-media.ru,Блокнот Медиа - Сеть новостных порталов,271743,91,public,
osnmedia.ru,www.osnmedia.ru/,Общественная Служба Новостей,270599,93,private,s
hibiny.com,www.hibiny.com/,Хибины.ru,262823,74,public,s
radio1.ru,radio1.ru/,Радио 1,250969,94,private,
hsdigital/rn/smi/178,www.fontanka.ru,FONTANKA.RU – главные новости Санкт-Петербурга. Shkulev Holding,246971,86,public,s
myliski.ru,myliski.ru/,myliski.ru Мои Лиски,239713,81,private,s
vedomosti.ru,vedomosti.ru/,Ведомости - ежедневная деловая газета,228153,83,private,s
78.ru,78.ru/,Городской портал 78.ru,216761,94,private,s
vz.ru,vz.ru/,ВЗГЛЯД.РУ,211182,84,private,s
hsdigital/rn/smi/66,e1.ru,E1.RU – главные новости Екатеринбурга. Shkulev Holding,200922,92,public,s
pg21.ru,pg21.ru/,Портал PRO Город Чебоксары и Новочебоксарск,199542,81,private,s
VMRU,vm.ru,"Вечерняя Москва - основные события дня, настоящее и будущее столицы.",186714,94,private,s
runews24.ru,runews24.ru/,Информационное агентство RuNews24.ru,158934,92,public,s
kubnews.ru,kubnews.ru/,Кубанские Новости,157910,68,public,s
hsdigital/rn/smi/54,news.ngs.ru/,NGS.RU – главные новости Новосибирска. Shkulev Holding,154880,86,public,s
inosmi.ru,inosmi.ru/,ИноСМИ,136624,87,public,s
bloknot.ru,bloknot.ru/,Блокнот,132449,91,public,
argumenti.ru,argumenti.ru/,Газета Аргументы недели,129498,94,public,s
kp/kpall/kpmsk,msk.kp.ru,MSK.KP.RU: главные новости Москвы,128911,92,public,
