system_id,domain,title,visits,rating,parse_date
mail.ru,mail.ru/,Почта Mail.Ru,5486918,78,2026-02-18
bazr.ru,bazr.ru/,BAZR.ru - Смотреть бесплатно русские сериалы,2652092,89,2026-02-18
hsdigital,www.hsdigital.ru/,Shkulev Holding,2452696,84,2026-02-18
HeadHunter,hh.ru/,HeadHunter Group - Online Hiring Services,1853058,82,2026-02-18
kp,kp.ru,Комсомольская правда-Digital,1637932,81,2026-02-18
championat_com,championat.com,Чемпионат: ведущий сайт о спорте,1608136,72,2026-02-18
RBCRU,www.rbc.ru,"РБК - РосБизнесКонсалтинг - новости, курсы валют, погода",1556024,83,2026-02-18
hsdigital/rn/smi,mediakit.iportal.ru,Городские медиа Shkulev Holding,1553428,88,2026-02-18
RS_Total/Riaru_Total,ria.ru,РИА Новости: главные новости часа,1479228,82,2026-02-18
rambler,rambler.ru,Рамблер - главные новости в России и мире,1473690,78,2026-02-18
2gis,www.2gis.ru,Карта онлайн со справочником организаций — 2ГИС,1390540,78,2026-02-18
progorod,progorod43.ru,Сеть порталов PRO Город,1322199,71,2026-02-18
Lenta,lenta.ru,Lenta.Ru,1297726,82,2026-02-18
NovostnoyAgregatorSMI2,smi2.ru,Новостной агрегатор СМИ2,1215930,84,2026-02-18
mail-my,my.mail.ru/,Мой Мир Mail.Ru,1103311,78,2026-02-18
mic_izvestia,iz.ru,Известия,995582,83,2026-02-18
primpress.ru,primpress.ru/,PRIMPRESS.RU,932341,77,2026-02-18
russianfood.com,www.russianfood.com/,Рецепты кулинарных блюд от RussianFood.com,840402,70,2026-02-18
irecommend.ru,irecommend.ru/,IRecommend - отзывы о товарах и услугах,796701,77,2026-02-18
m.my.mail.ru,m.my.mail.ru/,Мобильная версия Моего Мира Mail.Ru,780740,79,2026-02-18
1Mediainvest,1mediainvest.ru/,1MI - федеральный медиахолдинг,763554,82,2026-02-18
Sportbox,www.sportbox.ru,Sportbox.ru,693202,77,2026-02-18
kino-teatr.ru,www.kino-teatr.ru/,"Кино-Театр.РУ - интервью, статьи, премьеры, новости кино и театра",662796,68,2026-02-18
ura.ru,ura.ru/,URA.Ru - Российское информационное агентство,641680,85,2026-02-18
360tv,360tv.ru,Телеканал 360°,637303,83,2026-02-18
gazeta_all,www.gazeta.ru/,Газета.Ru: Главные новости и подробности текущих событий,625451,81,2026-02-18
AIF,www.aif.ru,"Аргументы и Факты //  Объясняем, что происходит",574732,83,2026-02-18
action,www.glavbukh.ru/,"&lt;Актион-МЦФЭР&gt; — издания для директоров, руководителей, главбухов",520137,88,2026-02-18
mk,www.mk.ru,МОСКОВСКИЙ КОМСОМОЛЕЦ,498047,84,2026-02-18
Sport24,sport24.ru,Sport24,497720,72,2026-02-18
progorod43.ru,progorod43.ru/,Интерактивно-новостной портал PROGOROD43.ru,471278,66,2026-02-18
regnum,regnum.ru,ИА Регнум,465787,84,2026-02-18
1000.menu,1000.menu/,🍅 Кулинарные рецепты 🍰 1000.menu 🍔🥑,458449,80,2026-02-18
hibiny.com,www.hibiny.com/,Хибины.ru,446863,77,2026-02-18
sport-express.ru,sport-express.ru/,СПОРТ-ЭКСПРЕСС,426429,79,2026-02-18
ntv.ru,www.ntv.ru/,"НТВ.ru - Новости, видео, прямой эфир телеканала НТВ",423005,82,2026-02-18
kinoafisha.info,www.kinoafisha.info/,Киноафиша.info - афиша кинотеатров,416883,72,2026-02-18
vedomosti.ru,vedomosti.ru/,Ведомости - ежедневная деловая газета,409614,74,2026-02-18
hsdigital/wn/woman,www.woman.ru/,Woman.ru Интернет для женщин,405438,79,2026-02-18
gastronom.ru,www.gastronom.ru/,Кулинарный портал &quot;ГАСТРОНОМ&quot;,403826,75,2026-02-18
PrimaMediaCompany,primamedia.company,Сеть PrimaMedia,388993,78,2026-02-18
kommersant,www.kommersant.ru,&quot;Коммерсантъ&quot;. Издательский дом,374857,83,2026-02-18
povar.ru,povar.ru/,Все кулинарные рецепты - Повар.ру,370903,76,2026-02-18
PlayGround,www.PlayGround.ru,PlayGround.ru - Российский Игровой Сервер,355861,76,2026-02-18
life.ru,life.ru/,LIFE.RU — последние новости России и мира,352445,83,2026-02-18
popcornnews.ru,popcornnews.ru/,попкорнnews,351650,72,2026-02-18
kp/kpall/family,www.kp.ru/family,Комсомольская правда: Дом и семья,351114,77,2026-02-18
hsdigital/rn/smi/178,www.fontanka.ru,FONTANKA.RU – главные новости Санкт-Петербурга. Shkulev Holding,335702,83,2026-02-18
litres.ru,www.litres.ru/,"Огромный выбор электронных книг, мультимедиа книг и аудиокниг",334860,75,2026-02-18
RGRU,www.rg.ru,Российская Газета: издание Правительства РФ,333834,80,2026-02-18
klerk.ru,www.klerk.ru/,Клерк.Ру  -  практическая помощь бухгалтеру,325205,92,2026-02-18
news.ru,news.ru/,NEWS.ru ─ Информационный портал,314073,79,2026-02-18
4pda.ru,4pda.ru/,4PDA.ru,307544,72,2026-02-18
lipetsknews.ru,lipetsknews.ru/,Липецкие Новости,303697,69,2026-02-18
trashbox.ru,trashbox.ru/,Trashbox.ru: технологии + культура,261739,77,2026-02-18
hsdigital/rn/smi/66,e1.ru,E1.RU – главные новости Екатеринбурга. Shkulev Holding,249649,90,2026-02-18
hsdigital/rn/smi/54,news.ngs.ru/,NGS.RU – главные новости Новосибирска. Shkulev Holding,245052,87,2026-02-18
lyudi.org,lyudi.org/,Люди Знакомства Онлайн,242165,76,2026-02-18
3dnews.ru,3dnews.ru/,"3DNews - все о компьютерах, комплектующих, гаджетах и софте",239297,64,2026-02-18
3dnews.ru,3dnews.ru/,"3DNews - все о компьютерах, комплектующих, гаджетах и софте",239297,64,2026-02-18
audit-it.ru,www.audit-it.ru/,"Бухгалтерский учет, налоги, аудит в РФ",228550,90,2026-02-18
ilibrary.ru,ilibrary.ru/,ИНТЕРНЕТ-БИБЛИОТЕКА  iLibrary.ru,228345,76,2026-02-18
ren.tv,ren.tv/,Новости - наше призвание. РЕН ТВ,219717,87,2026-02-18
Prufy,prufy.ru,Пруфы,213583,85,2026-02-18
regions.ru,regions.ru/,REGIONS.RU | Новости Подмосковья,211933,89,2026-02-18
film.ru,film.ru/,ФИЛЬМ.РУ: национальный кинопортал,208276,63,2026-02-18
forbes.ru,www.forbes.ru/,Forbes Россия,205964,79,2026-02-18
kp/kpall/sports,www.kp.ru/sports,Комсомольская правда. Спорт,205305,86,2026-02-18
KHLru,www.khl.ru,Континентальная Хоккейная Лига (КХЛ),203753,76,2026-02-18
gorodrabot_group,gorodrabot.ru/,Все вакансии России - GorodRabot.ru,200119,90,2026-02-18
spb.hh.ru,spb.hh.ru/,Работа в Санкт-Петербурге  -  Spb.hh.ru (HeadHunter Group),195221,90,2026-02-18
krasotaimedicina.ru,www.krasotaimedicina.ru/,Красота и Медицина,194469,85,2026-02-18
yaplakal.com,yaplakal.com/,ЯПлакалъ - крупнейшее информационно-развлекательное сообщество рунета,193177,79,2026-02-18
stihi.ru,www.stihi.ru/,Стихи.ру - национальный сервер современной поэзии,192080,80,2026-02-18
RS_Total/Riaru_Total/RSport_Total,rsport.ria.ru/,РИА Новости Спорт. Все главные новости спорта,188807,84,2026-02-18
hsdigital/wn/starhit,starhit.ru,Starhit.ru - Новости шоу-бизнеса,188761,76,2026-02-18
gazeta.ru/social,gazeta.ru/social/,Газета.Ru: Общество,184797,86,2026-02-18
vz.ru,vz.ru/,ВЗГЛЯД.РУ,183311,79,2026-02-18
gismeteo.by,www.gismeteo.by/,GISMETEO.BY: Погодный сайт №1 в Беларуси,176006,32,2026-02-18
pg21.ru,pg21.ru/,Портал PRO Город Чебоксары и Новочебоксарск,172432,75,2026-02-18
its.1c.ru,its.1c.ru/,Информационная система 1С:ИТС,171023,93,2026-02-18
forexpf.ru,www.forexpf.ru/,ProFinance.Ru: | РЫНОК FOREX | НОВОСТИ | ПРОГНОЗЫ | ФОРУМЫ |,168676,65,2026-02-18
2gis/online/ru/moscow,2gis.ru,"Карта Москвы: улицы, дома и организации города — 2ГИС",167074,86,2026-02-18
materinstvo.ru,www.materinstvo.ru/,"МАТЕРИНСТВО: беременность, роды, питание, воспитание",165317,85,2026-02-18
astromeridian.ru,www.astromeridian.ru/,AstroMeridian.Ru - эзотерический интернет журнал,164343,85,2026-02-18
kp/kpall/kpmsk,msk.kp.ru,MSK.KP.RU: главные новости Москвы,163385,89,2026-02-18
